dow,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms
1,10,1194.3972119860293,380.5,-376.7,1.0,6266.0,6642.7,6958.0,6958.5
2,7,2382.3132815456015,904.0,-902.8571428571429,-4.0,11565.285714285714,12468.142857142857,7129.0,7557.0
3,17,4431.956107767367,2625.0588235294117,-2620.9411764705883,0.0,5070.294117647059,7691.235294117647,5341.0,6901.0
4,18,211.21434610366788,52.27777777777778,51.05555555555556,1.0,7075.0,7023.944444444444,5735.0,5732.5
5,18,3346.922334191684,1945.2222222222222,-1810.4444444444443,-1.5,6388.611111111111,8199.055555555555,3294.5,6718.5
6,8,3363.414987033268,1995.625,-1993.875,-3.0,3669.125,5663.0,1297.5,6269.5
7,10,475.3021144493258,152.9,150.5,1.0,17658.4,17507.9,10531.5,10530.5
