ms_bin,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms,ms_bin_lab
0,5,16287.781813371641,10790.8,10790.8,1026.0,977.0,-9813.8,612.0,-414.0,ms<0
1,9,4967.0000671095895,3974.777777777778,3973.8888888888887,4080.0,4780.888888888889,807.0,4512.0,846.0,0-30m
2,8,3238.2181828900907,2176.5,2176.5,1022.0,5274.875,3098.375,3932.0,3213.0,30-60m
3,194,4056.888905649686,3501.056701030928,-3499.1494845360826,-4080.0,2236.8762886597938,5736.025773195876,1250.5,5727.0,1-2h
4,136,7078.572875130228,5511.963235294118,-5506.404411764706,-6776.0,4184.823529411765,9691.22794117647,1618.0,9419.5,2-4h
5,29,5879.382257017988,2164.4827586206898,-2161.862068965517,-1.0,16028.241379310344,18190.103448275862,16674.0,17218.0,4-8h
6,16,10624.252826669743,5004.625,4207.75,2.5,58259.9375,54052.1875,46080.0,46079.5,>8h
