ms_bin,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms,ms_bin_lab
0,2,1056.7005252198942,1046.0,1046.0,1046.0,861.0,-185.0,861.0,-185.0,ms<0
1,9,3.3166247903554,2.7777777777777777,1.0,1.0,854.6666666666666,853.6666666666666,898.0,899.0,0-30m
2,2,4.123105625617661,4.0,1.0,1.0,2341.5,2340.5,2341.5,2340.5,30-60m
3,38,2690.813695168297,1503.657894736842,-1501.8157894736842,-3.0,4453.236842105263,5955.0526315789475,5484.0,5911.0,1-2h
4,31,3607.6878307124866,1529.8709677419354,-1525.8064516129032,0.0,7993.612903225807,9519.41935483871,9129.0,9605.0,2-4h
5,2,4.47213595499958,4.0,2.0,2.0,16923.5,16921.5,16923.5,16921.5,4-8h
6,4,751.5041583384619,377.5,376.0,2.0,53281.25,52905.25,43443.5,43441.5,>8h
