dow,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms
1,74,5650.117856938677,3943.2837837837837,-3505.8783783783783,-3870.5,9509.702702702703,13015.581081081082,2136.0,6929.0
2,25,4419.29621093676,3087.0,-2759.32,-3721.0,3646.4,6405.72,1671.0,5998.0
3,50,7227.041375279375,5104.52,-3917.52,-4202.0,5809.7,9727.22,1145.5,7231.5
4,64,6193.802912236149,4260.078125,-2606.359375,-3991.5,6299.3125,8905.671875,1321.5,6723.5
5,57,5419.402964462789,4213.122807017544,-3932.1052631578946,-4202.0,3922.7017543859647,7854.80701754386,1257.0,6415.0
6,51,6492.916337719704,4676.411764705882,-3101.823529411765,-4019.0,5875.803921568628,8977.627450980392,1151.0,6176.0
7,76,5967.765733946261,3991.065789473684,-3191.065789473684,-3687.5,6294.75,9485.815789473685,2136.0,7444.0
