slice,k,sse_share
worst 1,1,0.056704404251451734
worst 2,2,0.11082780510922913
worst 5,5,0.22533925571589716
worst 10,10,0.29456273093376667
worst 1%,3,0.1615046976118357
worst 5%,19,0.38829897335831814
worst 10%,39,0.5339791023699965
|r|>1h,253,0.9985538868969089
|r|>2h,73,0.6913457853199437
y<=30m,228,0.7913231865687393
y>30m,169,0.20867681343126068
