slice,k,sse_share
worst 1,1,0.23905846816352588
worst 2,2,0.3227918424633215
worst 5,5,0.5324917493472031
worst 10,10,0.7579330121282718
worst 1%,1,0.23905846816352588
worst 5%,4,0.473203212330122
worst 10%,8,0.680865004828253
|r|>1h,18,0.993422535597324
|r|>2h,3,0.39984407481394474
y<=30m,28,0.996691899715145
y>30m,60,0.0033081002848549482
