dis_q,n,mean_dis,mean_pred,median_pred,frac_gt30,frac_gt60
Q1,43025,-142.51097247298534,992.1549014319704,948.9880712822136,0.01482858803021499,0.0008134805345729227
Q2,42898,94.82263097397488,971.6015786298274,929.8227899813185,0.01419646603571262,0.0006293999720266679
Q3,42959,193.92109781407882,968.8614750156454,920.9542700202335,0.015247096068344235,0.0007681743057333737
Q4,43062,279.91388280751596,971.939783697745,921.3403074361897,0.01651107705169291,0.0012307835214342112
Q5,42924,367.8110351287536,985.0190794153553,923.5770971442485,0.01894045289348616,0.001234740471531078
Q6,42972,470.81227578762343,1006.2072668675046,943.8892307002475,0.024178534859908778,0.0015126128641906357
Q7,42917,620.6898359025272,1067.0670746029114,989.7030774629818,0.037397767784327886,0.002097071090709975
Q8,42929,1062.0917528242612,1285.7085041098885,1148.3687615708445,0.1357590440028885,0.0061263947448112
nan,1155,,1206.5216435387715,962.6441714440286,0.07186147186147186,0.021645021645021644
