blend,n,rmse,mae,matched,mae_matched,unmatched,lirf_unmatched,nlu_unmatched,sse
E18-H,344419.0,372.36461184816244,161.9943324275108,250.9784561574627,155.03054878156206,2216.5891149204394,6032.69683773519,1549.7376259533175,47755555644.29215
equal5,344419.0,371.98774232094,158.96036032493447,250.8631281626656,151.9968732660332,2213.354316823418,6032.69683773519,1544.7373398441962,47658937945.241455
A_centric,344419.0,372.53801862323127,160.4339605775994,251.5678175896564,153.49698531886764,2214.2397857064216,6032.69683773519,1546.1069609654926,47800044647.043686
A_B_C_D,344419.0,374.24571853955433,160.67457257233087,254.16356939798385,153.7236271166947,2213.9938225522865,6032.69683773519,1545.7265781030167,48239276179.18158
A_B_D_E,344419.0,374.10784098260683,160.30339903922678,253.92521542473662,153.3418016756575,2214.2259348463226,6032.69683773519,1546.085541926769,48203738627.05648
A_E,344419.0,369.99393670414827,159.16993982776384,247.4897927536532,152.2246234534859,2215.894490958234,6032.69683773519,1548.6646362194576,47149415760.08453
nnls,344419.0,368.03181968318484,157.04882511823754,244.76022481179214,150.12395368986387,2214.079604780043,6032.69683773519,1545.859246443305,46650665052.070206
ridge1,344419.0,368.1745702987774,157.2274884397592,244.9292020646024,150.31465095646675,2214.4217666059485,6032.69683773519,1546.3883620174743,46686861393.309105
ridge10,344419.0,368.1745702982509,157.22748844237188,244.9292020656691,150.3146509591278,2214.421766592892,6032.69683773519,1546.3883619972862,46686861393.17557
