split,variant,n,n_matched,n_unmatched,n_lt20_matched,n_gt30_matched,n_gt60_matched,rmse_overall,rmse_matched,mae_matched,rmse_lt20_matched,rmse_gt30_matched,rmse_gt60_matched,sse_share_gt30_matched,resid_mean_matched,resid_median_matched,rmse_unmatched,trees
janjul,baseline,344419,339046,5373,255874,15140,775,378.27544289123625,256.45928301184216,157.83337264126553,174.50922947165887,821.3702748364738,2375.848859579158,0.45804523145651355,-0.26984850613634964,-17.050085947843286,2241.022901781275,400.0
janjul,A_huber,344419,339046,5373,255874,15140,775,384.21063423147484,267.66462528896926,156.66486794962165,162.89631910236173,932.8258604935735,2774.532179674541,0.5423584966304069,17.627176198551275,-8.829499232619298,2222.989042499133,400.0
janjul,B_tailweight,344419,339046,5373,255874,15140,775,411.866736117057,300.3369020867214,201.775525287076,268.87188472089275,653.6688574188724,1946.4774285777296,0.21152682246020732,-119.93002686263223,-102.43914703397581,2276.3861444350628,267.0
janjul,C_twostage,344419,339046,5373,255874,15140,775,426.30947658910253,317.99002187022717,195.6826398169553,274.95125694390083,623.305748475514,1872.6815663745274,0.17157046543582946,-84.38004361808686,-49.76224699579376,2295.4609182178015,
dec,baseline,165677,164028,1649,125738,6345,190,245.3842740102065,230.04111805948864,151.03844404213353,162.12912088231073,733.5932134725731,2153.906988179516,0.3933809342591802,11.87144760341831,-6.731105822560096,886.4584880499616,159.0
dec,A_huber,165677,164028,1649,125738,6345,190,249.31119805738408,234.65749577670195,147.78524147309741,150.9323944381328,806.6851524271236,2442.0341938600527,0.45714387012820173,27.731645929881783,3.5827516880149233,876.1273518391338,400.0
dec,B_tailweight,165677,164028,1649,125738,6345,190,278.1946790777024,262.4827520134937,181.4281549509214,239.3534393267111,553.7674552931624,1659.7758307124307,0.17217375568151846,-93.83528289412972,-83.0253290816396,960.4209857028784,254.0
dec,C_twostage,165677,164028,1649,125738,6345,190,302.6528137275921,271.6508333369122,173.5757944331917,234.77744259446266,519.9706402762577,1629.0211664391554,0.14172589167562877,-55.868010515972664,-34.73765062691814,1364.7851936649456,
