split,variant,bin,n,mean_y,mean_pred,mean_resid,mae,rmse,sse,sse_share
janjul,baseline,<10m,42436,479.3242294278443,592.382502686926,-113.0582732590818,132.64949633478795,189.75674377800956,1528019439.0966187,0.06852253268676303
janjul,baseline,10-15m,117120,758.1290215163934,824.1064544740304,-65.97743295763719,117.51165935238429,164.35495640928917,3163710054.6705794,0.14187347365212286
janjul,baseline,15-20m,96809,1037.3835077317192,1051.11644329613,-13.732935564410683,132.430064368284,179.51708639969172,3119804038.612033,0.139904551435861
janjul,baseline,20-30m,67541,1414.2929775987918,1321.2963381202262,92.99663947856556,190.55481033718323,251.54933628620037,4273796489.368912,0.19165421076873945
janjul,baseline,30-45m,12354,2094.679941719281,1724.4310456619867,370.2488960572946,431.64391954346087,542.7201119661102,3638810411.6461935,0.16317888306471592
janjul,baseline,45-60m,2011,3033.322227747389,2215.9897407652693,817.3324869821201,871.8754625966529,1046.1189181066034,2200767594.340086,0.09869126371081591
janjul,baseline,>60m,775,4792.7445161290325,3161.516110671308,1631.228405457724,1734.3729122342422,2375.848859579158,4374609797.76178,0.19617508468098174
janjul,A_huber,<10m,42436,479.3242294278443,584.198169966673,-104.8739405388287,124.98350815059415,179.5922467025704,1368704224.7114253,0.056346770031396855
janjul,A_huber,10-15m,117120,758.1290215163934,813.5408186222493,-55.41179710585604,108.70248739275921,150.63050588899983,2657400014.5285187,0.10939975547429841
janjul,A_huber,15-20m,96809,1037.3835077317192,1037.2392872697264,0.1442204619927614,127.1359501320412,169.50866954989925,2781631298.9909215,0.1145141048639804
janjul,A_huber,20-30m,67541,1414.2929775987918,1301.3194835449438,112.9734940538478,193.1282675351603,252.5747557386799,4308711042.757327,0.17738087299991703
janjul,A_huber,30-45m,12354,2094.679941719281,1653.6573902247976,441.0225514944837,474.9098075435048,588.7096855178172,4281638125.083007,0.17626633602492123
janjul,A_huber,45-60m,2011,3033.322227747389,1989.8295062473455,1043.4927215000434,1058.4889034395696,1206.3716563104344,2926673804.6030025,0.12048520991425131
