variant,n,sse,abs_180_n,abs_180_rmse,abs_180_mae,abs_180_sse,abs_180_sse_share,pos_180_n,pos_180_rmse,pos_180_mae,pos_180_sse,pos_180_sse_share,abs_240_n,abs_240_rmse,abs_240_mae,abs_240_sse,abs_240_sse_share,pos_240_n,pos_240_rmse,pos_240_mae,pos_240_sse,pos_240_sse_share,abs_300_n,abs_300_rmse,abs_300_mae,abs_300_sse,abs_300_sse_share,pos_300_n,pos_300_rmse,pos_300_mae,pos_300_sse,pos_300_sse_share,abs_360_n,abs_360_rmse,abs_360_mae,abs_360_sse,abs_360_sse_share,pos_360_n,pos_360_rmse,pos_360_mae,pos_360_sse,pos_360_sse_share,top1pct_sse_share,top2pct_sse_share,top5pct_sse_share,top10pct_sse_share
E19-0,344419,47755555644.29215,101006,672.4899707163886,365.0130726688813,45679232288.69133,0.9565218469853781,45513,782.1298252463894,398.9964325476137,27841533842.893635,0.5830009402523059,64569,826.4179797813957,453.8576532757773,44098475386.96876,0.9234208416594877,30630,942.2803481760442,492.027546124343,27196139757.135036,0.5694864061410115,42128,1004.2493878571926,553.1621963571544,42486797141.11041,0.8896723442519201,21246,1117.2550957870842,591.0817713371312,26520509631.775642,0.5553387302058421,28237,1204.9051875576067,664.2633248979141,40994378081.19824,0.858421130863713,15111,1308.18447335041,698.0451888258731,25860158719.137314,0.5415110005578624,0.7225472119746815,0.7620233038794767,0.8219223507425447,0.8738057988843102
E19-A,344419,47658421443.44291,99674,676.3146292654955,365.4591551610054,45591034894.10317,0.9566207506097713,44816,788.4115558901973,400.90186426329177,27857302093.965218,0.5845200334011056,63311,833.7879514939743,456.16006498138717,44013955857.80622,0.9235294523977963,30086,951.1502459418626,495.5697568229447,27218406774.628525,0.5711143162164758,41267,1013.9902707258666,556.9251684809764,42429750098.0522,0.8902886166383907,20833,1128.9525544843955,596.7625448125331,26552364119.477444,0.5571389759727481,27705,1216.0428535579028,669.1171780601767,40969051941.90059,0.8596392977580948,14878,1319.6654969439903,704.3726557147515,25910290280.459854,0.543666565020582,0.7256254793031366,0.7653726509348843,0.824980161709774,0.8762507886805481
E19-B,344419,47441129832.171646,98867,677.4409021789571,365.126249679304,45372654237.1582,0.9563991076449716,44140,791.7734584095722,400.7992236349505,27671595944.76346,0.5832828189938741,62745,835.5693476002565,455.884283174326,43807061568.55892,0.9233983617913686,29630,955.3369681840205,495.444795563274,27042374255.94284,0.5700196085465986,40889,1016.3460833297038,556.5820914407927,42236675316.00273,0.890296573151182,20497,1134.5767660271583,596.9140017630324,26385059185.863197,0.5561642245706062,27342,1221.250095904119,670.0645840927489,40779275026.62421,0.8595763880600125,14559,1329.7844156710682,706.6583748509435,25745066855.28138,0.5426739823937048,0.7276590722912821,0.7669195100757152,0.8261341002085351,0.8770665283821399
E19-C,344419,47718289953.26083,100701,673.2501788209654,364.91633509357365,45644319656.34719,0.9565372041004601,45432,783.5466546983383,399.97340155816136,27892765599.5615,0.5845298653175112,64168,828.6086346790859,454.419650846193,44057252747.01336,0.923278113909082,30610,943.492706148621,493.0302320024087,27248363473.46839,0.571025564833896,41750,1008.2853736437346,554.7108384827759,42444694728.887215,0.8894848237533448,21164,1120.405261987518,593.4874852160481,26567337476.854347,0.5567537626112871,27972,1210.138673446613,666.644530122391,40963192854.140396,0.8584379887515473,15080,1310.8345525279885,700.6760072316579,25911771339.44688,0.5430155054765577,0.7236645900673808,0.7631416157566082,0.8227919143335977,0.8744181997133981
E19-D,344419,47650370164.535355,99753,676.0106567247514,366.05316065970567,45586164169.76562,0.9566801687449207,44912,786.8356570783691,400.9966160600401,27805484095.3377,0.5835313345799028,63690,831.3725815463188,455.7750817617719,44021277723.70982,0.9238391553246201,30222,948.1026917725462,494.88363568399615,27166516938.930923,0.5701218447018507,41591,1010.0948509249648,555.8851200176512,42434948262.71849,0.890548134593537,20990,1123.661880741579,594.8194465720761,26502310306.643436,0.5561826742401312,27912,1211.452212010302,667.8303673012072,40964110686.91565,0.859680849182656,15030,1311.6952587028018,700.6687159916174,25859783109.102253,0.5426984726416431,0.7244359934908644,0.7642298810603724,0.8242117123973178,0.8758148293894812
E19-E,344419,47417948269.91324,98538,678.3510925113934,365.60448240908664,45343266251.85203,0.9562469045212233,44240,791.0236963032005,400.7594480228279,27681785914.127,0.5837828696542556,62525,836.7858910224413,456.6174695117363,43780669479.07417,0.9232932059789917,29594,955.9881947871247,496.3649892637678,27046354005.169994,0.5703822074126085,40809,1017.1432113272192,557.2471867994856,42220187966.652306,0.8903841162912796,20529,1133.8577352213867,597.218196041923,26392767323.836052,0.5565986780702257,27351,1220.9293428275198,670.2122729631959,40771273054.30768,0.8598278614297851,14660,1325.5988061246658,705.1124039938221,25760730775.75538,0.5432696208009616,0.7273079772630964,0.7670025839186874,0.8263356462478969,0.8773030219957564
E19-F,344419,47411757567.85272,98687,677.8185530929122,365.4222077524425,45340557009.62293,0.9563146218474264,44355,789.8273777901004,400.41562152745075,27669859301.879494,0.5836075421224394,62640,835.9763818869344,456.24714829416536,43776371853.59828,0.923323118552361,29804,952.4857613332006,494.60447847728204,27039056857.668274,0.5703027739263131,40876,1016.2178313316086,556.7465982410097,42212591272.960205,0.890340148486337,20658,1130.0604694278968,595.0749446733935,26381023416.554813,0.5564236545924279,27368,1220.3480034840914,669.7826966050943,40757773463.26102,0.8596554009821521,14679,1324.1274654535505,703.9496523963643,25736889523.655983,0.5428377019523684,0.7273007781282003,0.7667971497760284,0.8260775563572089,0.8770971149602486
