variant,janjul_overall,delta_vs_E18H,janjul_matched,delta_matched,dec_overall,delta_dec,tail_abs300_delta_pp
E19-A,371.9857266144767,-0.37888523368576443,250.1848052942361,-0.7936508632265884,235.38587683471656,-2.6249269468283956,0.061627238647055105
E19-B,371.136750520397,-1.2278613277654244,249.3479116486137,-1.630544508848999,233.67003900217836,-4.340764779366594,0.06242288992619471
E19-C,372.2192975225653,-0.1453143255971554,250.63981003126173,-0.33864612620095613,236.40245047723414,-1.6083533043108105,-0.018752049857528874
E19-D,371.9543041791061,-0.4103076690563512,250.24312722029464,-0.7353289371680489,236.11964616482902,-1.8911576167159296,0.08757903416168888
E19-E,371.04606358924866,-1.3185482589137791,249.08605779483233,-1.8923983626303595,233.69412257107535,-4.316681210469596,0.07117720393594595
E19-F,371.02184163646376,-1.342770211698678,249.22300243408327,-1.7554537233794179,233.66765562617238,-4.343148155372575,0.06678042344169244
