variant,overall_rmse,mae,matched_rmse,matched_mae,unmatched_rmse,lirf_unmatched_rmse,non_lirf_unmatched_rmse,sse,n,abs300_sse_share,pos300_sse_share,top1pct_sse_share,top5pct_sse_share
E19-0,372.36461184816244,161.9943324275108,250.9784561574627,155.03054878156206,2216.5891149204394,6032.69683773519,1549.7376259533175,47755555644.29215,344419,0.8896723442519201,0.5553387302058421,0.7225472119746815,0.8219223507425447
E19-A,371.9857266144767,160.6584851308312,250.1848052942361,153.71335102995317,2218.1721656763416,6032.69683773519,1552.1814565111688,47658421443.44291,344419,0.8902886166383907,0.5571389759727481,0.7256254793031366,0.824980161709774
E19-B,371.136750520397,159.7935588415268,249.3479116486137,152.91816802713583,2215.000323996378,6032.69683773519,1547.2828115287243,47441129832.171646,344419,0.890296573151182,0.5561642245706062,0.7276590722912821,0.8261341002085351
E19-C,372.2192975225653,161.63432827030772,250.63981003126173,154.638850043578,2217.4423879360074,6032.69683773519,1551.055125621591,47718289953.26083,344419,0.8894848237533448,0.5567537626112871,0.7236645900673808,0.8227919143335977
E19-D,371.9543041791061,160.84872117869457,250.24312722029464,153.81246988602385,2217.4191309625644,6032.69683773519,1551.019223713853,47650370164.535355,344419,0.890548134593537,0.5561826742401312,0.7244359934908644,0.8242117123973178
E19-E,371.04606358924866,159.6958256470999,249.08605779483233,152.82022873522325,2215.8853378179724,6032.69683773519,1548.650494592763,47417948269.91324,344419,0.8903841162912796,0.5565986780702257,0.7273079772630964,0.8263356462478969
E19-F,371.02184163646376,159.73923912912096,249.22300243408327,152.8960959330152,2214.653365271443,6032.69683773519,1546.7464475051124,47411757567.85272,344419,0.890340148486337,0.5564236545924279,0.7273007781282003,0.8260775563572089
