model,n,rmse,mae,n_matched,rmse_matched,mae_matched,sse,sse_top1pct,sse_top5pct,sse_share_top1pct,sse_share_top5pct,n_gt180s,rmse_gt180s,sse_gt180s,sse_share_gt180s,n_gt300s,rmse_gt300s,sse_gt300s,sse_share_gt300s,n_gt600s,rmse_gt600s,sse_gt600s,sse_share_gt600s,n_gt900s,rmse_gt900s,sse_gt900s,sse_share_gt900s,n_gt1800s,rmse_gt1800s,sse_gt1800s,sse_share_gt1800s,n_gt2700s,rmse_gt2700s,sse_gt2700s,sse_share_gt2700s,n_gt3600s,rmse_gt3600s,sse_gt3600s,sse_share_gt3600s,n_matched_gt30m,rmse_matched_gt30m,n_matched_gt45m,rmse_matched_gt45m,n_matched_gt60m,rmse_matched_gt60m,n_matched_gt75m,rmse_matched_gt75m,rmse_EDDF,rmse_EDDM,rmse_EGLL,rmse_EHAM,rmse_LEBL,rmse_LEMD,rmse_LFPG,rmse_LIRF,rmse_LSZH,rmse_LTFM
E20,344419,368.0318196831848,157.0488251182375,339046,244.76022481179214,150.12395368986384,46650665052.0702,34210009505.40752,38688915283.19116,0.7333230826875295,0.8293325559240721,343525,367.67710496064325,46439926442.792206,0.9954826236872986,340559,368.5615648731106,46260726448.13335,0.9916413066458621,301101,384.65514537679314,44550777757.98476,0.9549869805341124,182611,456.6600914901442,38081412913.407845,0.8163101827359248,15629,1228.6669634800714,23593890164.20576,0.5057567804847135,3041,2550.4711712025833,19781410616.406982,0.4240327676856806,981,4253.633080088312,17749619886.801178,0.3804794608391871,15140,774.7840259118966,2786,1484.149645642889,775,2361.3596507720313,309,3264.7208561852945,196.9215174599513,181.77120666321633,278.9036404507058,194.67368104590028,223.73487393125572,177.65988371615668,581.0651964734885,857.4175153923177,214.18501752355667,261.3828418663296
temporal_alone,344418,539.8612705661433,155.73688917676884,339045,275.6851188431736,148.180259441962,100380692041.3371,88218458199.2666,92723803889.1416,0.8788389121977557,0.9237215046391355,343524,540.0612087272387,100194308487.17676,0.9981432330225061,340558,542.0232732998962,100052272181.23926,0.996728256665509,301101,573.6082011259225,99070168551.28223,0.9869444664765292,182611,726.3554587072643,96344148801.8916,0.9597876528109287,15629,2378.949861365658,88450800779.9541,0.8811535264523757,3041,5287.428249261232,85016925270.3916,0.8469450004925385,981,9199.438846838944,83021711269.8916,0.8270685286340025,15140,992.748026220266,2786,2047.788816343723,775,3557.6362386353685,309,5332.53355762567,189.97259851135942,190.94861392265378,283.79137103129636,202.89366709649426,223.8442883770327,178.1292435492804,580.4851155837295,1661.3734641928138,211.021177590063,253.97501018002802
blend_w0.5,344418,405.38926815716945,152.3716690027245,339045,251.4641475664745,145.28610166030194,56601812117.28193,44938924770.70684,49183019233.19131,0.7939485166586367,0.8689301171362059,343524,405.212341098733,56405624442.582016,0.9965338976375279,340558,406.41636217041656,56251415446.3114,0.9938094442940363,301101,427.64288112189985,55064879287.857254,0.9728465790770078,182611,530.3129158816464,51356018175.58954,0.9073210954655864,15629,1638.7453531770193,41971465891.568886,0.7415215930649324,3041,3564.671632638183,38641633783.39606,0.6826925205738742,981,6119.345648709678,36734909736.182816,0.6490058950774606,15140,857.049274893688,2786,1715.7233398005137,775,2882.1292974305893,309,4199.581824855923,186.1957462024285,180.9247543954935,276.0772988047197,193.00970350672083,218.94127516059254,173.78366441898663,577.1363449185247,1070.2966088560477,204.97284930470994,248.32356901159824
blend_w0.75,344418,370.9676520680935,153.73841249701758,339045,245.74535666362567,146.76831344247188,47397771520.566666,35488066654.64739,39796163927.80817,0.7487285903146004,0.8396209916860746,343524,370.6542643733874,47194901730.33253,0.9957198453909144,340558,371.6131044210064,47029799523.374664,0.9922365127011862,301101,389.249755433617,45621430056.226944,0.9625226797093417,182611,472.4158387468192,40754524873.98365,0.8598405276564447,15629,1368.5020585436646,29269958132.759567,0.6175386984187401,3041,2911.1663295304197,25772138659.900703,0.5437415691308979,981,4928.600905095022,23829575850.951103,0.5027573045414395,15140,807.9699077344468,2786,1584.1756905430616,775,2595.941503507867,309,3697.2661806595524,189.8215607334644,179.95261253828755,276.1648577367352,192.3681886430724,220.13699222530684,174.70104734661075,578.1938993537929,888.7168830083843,207.71944465906105,252.59830606873598
blend_w0.9,344418,365.19717009932555,155.48355453262081,339045,244.57659100113858,148.5667270786447,45934674959.43747,33732651861.886806,38130992406.824745,0.7343613923833,0.8301134696282546,343524,364.84541038499395,45727226282.198166,0.9954838326945278,340558,365.7362044116192,45554049951.86134,0.991713775967453,301101,382.158376736006,43974303045.275085,0.9573226126908814,182611,457.36608964139583,38199251936.71457,0.8315994827534178,15629,1265.2869593242824,25021264576.796623,0.5447140879714857,3041,2649.803141118868,21352249784.20428,0.4648394661126773,981,4442.698590552226,19362556921.93133,0.4215237604060419,15140,786.0007382129393,2786,1519.935317148143,775,2447.977300355232,309,3427.5810717480417,193.68490281503452,180.71137681419975,277.4933023706314,193.40157064401944,222.01501077204318,176.23636633020217,579.7003720114262,849.0572707641899,211.16997295581783,257.3520983513573
E20_plus_temporal,344418,369.70809570959614,156.3114336085291,339045,247.1486897736247,149.6157311735747,47076456099.20815,34608341797.511986,39280910720.76521,0.7351518076165064,0.8344067072080631,343524,369.3637202229657,46866827419.50968,0.995547059038244,340558,370.3077147836049,46699970548.031494,0.9920026785707221,301101,386.98726196060386,45092627090.08218,0.9578594232975972,182611,461.35791236848246,38868956477.85014,0.8256559583826434,15629,1245.8916899137544,24260054343.72684,0.5153330635721941,3041,2559.8286153348804,19926829243.797253,0.4232865193124091,981,4253.275964951331,17746639661.786057,0.376974843314184,15140,797.1837687547879,2786,1488.740379381098,775,2335.644114575506,309,3250.648825903972,194.98027241802134,189.8685242484692,278.5651795651514,210.0229489894428,223.2560059738222,177.54650989941777,583.5829838731435,860.266694389281,207.85908145439103,259.18938594979033
E20_plus_0.5corr,344418,365.83875889280205,154.42882343019957,339045,241.64506189117404,147.713423952596,46096215425.78809,34081819315.55346,38426307812.821106,0.7393626353213958,0.8336109040162952,343524,365.48067737331536,45886604947.68673,0.9954527616602533,340558,366.3899914788858,45717059618.23292,0.991774686835938,301101,382.6522345859149,44088031218.7078,0.9564349439855135,182611,455.1997711464235,37838246734.75887,0.8208536511132023,15629,1229.2500515605414,23616289367.469444,0.5123259935620991,3041,2544.805970567426,19693629818.048115,0.4272287786782318,981,4243.457097116329,17664796500.50067,0.38321576592203854,15140,773.2909586981723,2786,1467.4643366779123,775,2326.258965329152,309,3236.1076513069693,190.9226929758256,180.90028066734297,277.37435511358825,196.85781410149585,221.61264008562594,175.76502069970275,578.938313078669,856.4672531572743,206.75862763211094,253.06604136761635
E20_plus_0.75corr,344418,367.02050404600664,154.79411511954504,339045,243.33456891600812,148.12534372837197,46394499627.28666,34267522744.581055,38717593487.0729,0.7386117539766892,0.8345298213821314,343524,366.6671827344549,46185023339.983475,0.995484889610061,340558,367.5926998097102,46017693015.42118,0.9918782050697263,301101,384.0335658663213,44406911353.06356,0.9571589673303835,182611,457.336845315595,38194367116.086975,0.823252054078048,15629,1235.5894310718,23860501133.973927,0.5142959041623225,3041,2549.742364228691,19770107002.909187,0.4261304068743854,981,4245.869223911608,17684884762.695126,0.38118494443884166,15140,782.151602753268,2786,1473.3912013390523,775,2325.3646362507575,309,3237.979838655702,191.69724959448942,184.20737878889844,277.6300673535542,202.1599209325441,221.96388424884674,176.19779732581628,580.4188096482919,857.7753563076294,206.22674174907178,254.330235890718
E20_plus_1.0corr,344418,369.70809570959614,156.3114336085291,339045,247.1486897736247,149.6157311735747,47076456099.20815,34608341797.511986,39280910720.76521,0.7351518076165064,0.8344067072080631,343524,369.3637202229657,46866827419.50968,0.995547059038244,340558,370.3077147836049,46699970548.031494,0.9920026785707221,301101,386.98726196060386,45092627090.08218,0.9578594232975972,182611,461.35791236848246,38868956477.85014,0.8256559583826434,15629,1245.8916899137544,24260054343.72684,0.5153330635721941,3041,2559.8286153348804,19926829243.797253,0.4232865193124091,981,4253.275964951331,17746639661.786057,0.376974843314184,15140,797.1837687547879,2786,1488.740379381098,775,2335.644114575506,309,3250.648825903972,194.98027241802134,189.8685242484692,278.5651795651514,210.0229489894428,223.2560059738222,177.54650989941777,583.5829838731435,860.266694389281,207.85908145439103,259.18938594979033
