bin,n,mean_y,mean_ms,rmse_ms
<15m,1317,707.6940015186029,6196.182232346241,7683.965476361372
15-30m,2143,1207.2659822678488,6504.255716285581,6866.039904258413
30-60m,257,2264.206225680934,7886.634241245136,6196.260427390596
1-2h,39,4664.615384615385,8013.589743589743,4273.739082301322
>2h,7,26205.0,7826.571428571428,37772.15356582148
