k,sse_share,max_y
1,0.6601057489464941,84240.0
2,0.9714355275374065,84240.0
3,0.9752385617498907,84240.0
5,0.9790948091546239,84240.0
10,0.9827819716769023,84240.0
20,0.9864738178656793,84240.0
8,0.9815284185405351,84240.0
44,0.9898037951296962,84240.0
