bin,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
Q1,52445,896.6433215749834,901.8605696948516,-5.21724811986818,-15.932110832016633,234.3259267978277,123.70788625791788,234.38176693573445,339.559065086377,2881056250.5786843,0.1291981411044064
Q2,44237,910.5277708705382,915.8943650938403,-5.366594223302114,-10.670347251684689,170.9919939930883,114.07476774647569,171.07425696880847,314.11778289862184,1294657798.6181068,0.05805765885833894
Q3,34009,924.1962127672086,926.3065461707747,-2.110333403566053,-7.188858855888498,174.5972870900593,120.58399745072293,174.60747352007544,329.74093372266856,1036858563.4364525,0.0464969050698916
Q4,48488,945.8312365946214,946.4653748289658,-0.6341382343444513,-9.50726317498993,191.61724533834135,131.3036507817287,191.61631872043273,353.7114371804452,1780324857.8353672,0.0798369216665227
Q5,40109,976.3336158966815,977.5710855705663,-1.237469673884697,-15.11285382593121,208.58315469753248,146.18827483180758,208.5842252839678,392.4813842843523,1745037465.8075886,0.0782544931896418
Q6,39822,1032.93907890111,1032.3506868293268,0.5883920717830214,-22.338820619782723,244.07900775269692,166.42863585790485,244.07665232345676,447.5013952988027,2372332421.003746,0.10638492004931759
Q7,40239,1098.4212579835482,1097.4343544400595,0.9869035434885536,-28.93423725947332,277.2624478982645,191.83506226738032,277.2607591175421,529.2180217777677,3093313915.180026,0.13871662783861985
Q8,39697,1302.0326976849635,1289.2221910093751,12.810506675588353,-52.18661178596528,451.42475410238177,284.6753596893346,451.60080181920534,866.878352476494,8095936553.036231,0.36305433222326106
