split,n,mean_resid,median_resid,std_resid,mae,rmse,mse,p5,p25,p50,p75,p95,p99
Jan+Jul matched,339046,-0.26984850613634964,-17.050085947843286,256.45951925126263,157.83337264126553,256.45928301184216,65771.36384294817,-314.18721876501263,-120.98563151493278,-17.050085947843286,94.03493527192745,353.6576354802015,777.513145729596
Jan matched,152271,-3.115712237035824,-15.035461606900526,228.25179301350892,149.86991240619636,228.27230784928665,52108.2465308395,-307.71621675504684,-116.34092261541343,-15.035461606900526,91.01300067230636,335.3589141659067,687.0815620675445
Jul matched,186775,2.0502827542988986,-18.8721411093087,277.3204364522514,164.32569791742262,277.327273041499,76910.41637263414,-318.909442483612,-124.80421421271552,-18.8721411093087,96.64539292857467,369.04958001618195,863.0907513013985
