variable,corr_resid,corr_abs_err,n
MVT-AOBT,0.061327122720814746,0.19927476593532617,339046
AOBT-EOBT,0.021666359181670317,0.26778042667736013,339046
MVT-EOBT,0.05497147866005248,0.3632165014110169,339046
MVT-SCHED,0.027823698612061583,0.20369922719349784,339046
geo_mean,-0.030054763279989384,0.1302208633648916,339046
P_cal,0.04310427726851119,0.34145702494861213,339046
