hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
0,920,1049.9673913043478,1063.143857007414,-13.176465703066125,-44.92317874958263,372.47312580480553,232.27987818175953,372.5037562841855,835.6114175207076,127658324.57016161,0.005724712326479238
1,824,971.1783980582525,971.7601660067144,-0.581767948461913,-9.460981406623148,255.86071915479587,173.246607106777,255.706078534844,476.8375601333985,53877733.24612627,0.0024160940908114635
2,1266,1114.9889415481832,1106.8243684367435,8.164573111439804,-10.900270026450471,271.8689380012076,187.4762755190843,271.88416068103993,512.382055828218,93583981.98580965,0.004196681861829774
3,3138,942.2737412364563,943.4045549316842,-1.130813695227818,-8.014143545840852,231.38485878761585,154.08598885355303,231.3507512990884,432.6258344770394,167955707.857436,0.007531808946353247
4,7621,916.6859992127017,917.7992451542779,-1.113245941575999,-12.98208473440593,232.82206291153483,146.10852448567147,232.80944904624832,431.2339427594659,413060025.726524,0.0185232716222344
5,15031,928.4737542412348,927.826334414197,0.6474198270378366,-16.69874602417758,224.69894951992148,144.01331606298154,224.6924076048444,413.9840845751048,758865257.5480161,0.03403056799193953
6,16491,924.9950882299436,920.4463400874461,4.548748142497526,-10.839001006626404,216.51760636855497,141.53974228312057,216.55881931281831,414.0199754251009,773390337.1656717,0.03468193093760145
7,16674,965.085402422934,962.8526444435504,2.232757979383599,-15.48712160772925,228.5926584230338,146.52703963303392,228.59670775365518,425.4879214097921,871324127.2653364,0.03907367567692903
8,20145,995.0238768925292,1000.450177163365,-5.426300270835732,-16.505981807521607,231.69770121308957,153.85226955487985,231.7554845330229,444.62790340829946,1082000129.891339,0.04852123433154379
9,22359,1070.2713895970303,1061.4826369555003,8.788752641530092,-11.41220915278791,252.72277357769235,165.4132172698412,252.86989924391446,469.51203223316503,1429705694.513566,0.06411374926138129
10,22672,1043.6489502470008,1043.4659607074825,0.18298953951831792,-18.204083945526747,269.7447241758277,167.0325570803892,269.7388373283127,467.08409602961166,1649592963.1151488,0.07397437810198222
11,23062,1043.3045702887866,1043.0279071574766,0.27666313131029624,-19.21072180566108,258.03689021664036,166.41334371560063,258.03144405910405,462.45493697294336,1535473174.8538501,0.06885678815432787
12,21655,1054.1524821057492,1056.851551755579,-2.6990696498300815,-22.51826747361997,271.02876325608264,172.4029115858906,271.03594477188244,476.5054320076822,1590786767.1258683,0.07133727193450966
13,19546,1032.5407244448993,1030.118709592022,2.4220148528773744,-15.76016130951075,266.0441918780729,166.66723730744596,266.0484110302122,461.159882186501,1383500222.5507023,0.06204171020096561
14,21139,1020.6259520317896,1013.1839827379512,7.441969293838418,-14.355702003970578,277.39142616439875,165.01924290952238,277.48467744082865,466.6289466306086,1627655357.2270627,0.07299060768776261
15,19946,968.9482101674521,975.1192718041793,-6.171061636727297,-21.878427949659113,251.8537683335294,152.77545719666776,251.9230488129579,429.0912671954647,1265877328.4480658,0.056767026908569385
16,18204,991.7245110964623,993.2195883812025,-1.4950772847402543,-17.504628969851638,261.40265653390213,157.51117656637587,261.39975220785647,452.21626456066565,1243876233.590601,0.05578040939380367
17,16006,986.4854429588904,984.7046292220191,1.7808137368713954,-14.619631145099675,253.74479529080978,149.3237183371731,253.74311772324072,423.1518950337869,1030555430.0893177,0.046214247238612026
18,16480,967.8432645631068,970.6279538391427,-2.7846892760358757,-16.24537122603246,235.5098399329728,141.36796598317596,235.51915763256795,384.07735161459516,914133629.1250083,0.04099342578967477
19,18163,971.6534162858559,979.3884004796436,-7.7349841937877555,-18.962791122968383,224.28762255357532,141.07138998481315,224.4147900051778,392.22381773981016,914724969.1848348,0.04101994385452505
20,18881,977.2501456490652,980.6424255506979,-3.392279901632721,-20.131620990459282,308.56747125563885,150.16144448465184,308.5779464557547,420.09301779244333,1797855410.2025387,0.08062306208912538
21,10276,1075.8741728298949,1080.1048258935004,-4.230653063605316,-24.018584017278584,270.1833859965109,177.16136152596616,270.2033616624103,509.1073776318683,750249286.9730853,0.03364419324418244
22,5256,1111.0323439878234,1122.8255807751336,-11.793236787310189,-23.543000164988314,302.30531375117016,182.61789872087172,302.50652173738143,519.7268250850962,480977588.5658182,0.021568968097412912
23,3291,1202.200546946217,1191.6891972165574,10.51134972965956,-24.785908559215386,322.6384988575442,202.28314653935684,322.76068383866186,586.3982822967761,342838144.67431414,0.015374240257443116
