bin,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
Q1,58563,872.4302204463569,872.4259251794751,0.004295266881707307,-16.76029701258392,245.64828188938893,145.3748800769182,245.64618461865348,420.816683803575,3533811358.060658,0.15847030351572297
Q2,48834,911.609083835033,908.2554380522504,3.3536457827825457,-15.127971637909866,250.3036746234004,149.02805554868522,250.3235776207709,423.4050000743519,3060030907.8071084,0.1372240840251898
Q3,24846,951.3055220156162,946.5894151601259,4.7161068554904615,-14.494597978976913,261.8256648359706,153.72289682063254,261.8628674085806,442.3152541471844,1703743920.3416705,0.07640272465414885
Q4,46064,980.1859152483502,978.2343733918958,1.951541856454418,-17.4980442197201,258.15293486163824,157.34026911070765,258.1575091812026,448.79703421254106,3069949078.3165507,0.13766885465149015
Q5,41158,990.5413042421886,995.0549885497541,-4.513684307565426,-19.879616941713266,275.61065949482224,154.47470337782946,275.64426961656613,431.3997013927945,3127175100.8833055,0.14023509949205462
Q6,36353,1025.7718757736639,1031.5122820260915,-5.7404062524277535,-17.644895728691495,232.1389777299257,153.4636914366926,232.20675028508188,421.90009279708954,1960152846.7384205,0.087901131409096
Q7,42462,1108.1155621496869,1111.4574505193032,-3.3418883696164343,-19.145718534372122,248.65952637149735,164.51095762993754,248.67905442749984,448.26429849390604,2625904096.375389,0.11775609306552161
Q8,40766,1257.5946376882696,1255.7849993208458,1.8096383674239118,-15.811996696721963,280.9900413401298,189.67344217963998,280.9924221894574,530.3072271138232,3218750516.9731007,0.144341709186776
