bin,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
<10m,42436,479.3242294278443,592.382502686926,-113.0582732590818,-89.06428090265871,152.40077419464689,132.64949633478795,189.75674377800956,376.9467126050639,1528019439.0966187,0.06852253268676303
10-15m,117120,758.1290215163934,824.1064544740304,-65.97743295763719,-51.143805022663116,150.53147016831753,117.51165935238429,164.35495640928917,321.44125602965846,3163710054.6705794,0.14187347365212286
15-20m,96809,1037.3835077317192,1051.11644329613,-13.732935564410683,-2.2704324029360805,178.99195996407408,132.430064368284,179.51708639969172,342.4402990199887,3119804038.612033,0.139904551435861
20-30m,67541,1414.2929775987918,1321.2963381202262,92.99663947856556,94.25827416694483,233.72954983568496,190.55481033718323,251.54933628620037,492.7950929377471,4273796489.368912,0.19165421076873945
30-45m,12354,2094.679941719281,1724.4310456619867,370.2488960572946,343.5136076338032,396.82946169972433,431.64391954346087,542.7201119661102,1077.5815752498775,3638810411.6461935,0.16317888306471592
45-60m,2011,3033.322227747389,2215.9897407652693,817.3324869821201,739.5140274332693,653.1037453682798,871.8754625966529,1046.1189181066034,1989.147364332015,2200767594.340086,0.09869126371081591
>60m,775,4792.7445161290325,3161.516110671308,1631.228405457724,1365.255671763549,1728.4694585495904,1734.3729122342422,2375.848859579158,3993.206944437991,4374609797.76178,0.19617508468098174
