bin,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
Q1,42825,724.7110799766491,716.5632237901442,8.147856186504974,-9.06216747505863,245.1385867092301,140.07343791524102,245.27109702027602,416.8498020432796,2576262540.010907,0.1155299661710771
Q2,42163,755.1214334843346,752.7406771171746,2.380756367159904,-10.751715064511359,208.76659022058416,126.29555681499954,208.77768918825774,347.18929815955534,1837806051.2480822,0.08241460939333954
Q3,42699,842.0856694536171,845.4740909131194,-3.3884214595021915,-18.124370058326463,220.7433464667625,136.51623554677764,220.76676656695503,374.4201587482559,2081062376.9470727,0.09332320067332063
Q4,41849,918.0718296733494,925.4187886997298,-7.346959026380452,-20.00037899947779,234.6988818529202,143.90885554029472,234.81104468119455,393.75401842949367,2307395951.3471603,0.10347290777332387
Q5,42460,1051.2574894017898,1053.593115525293,-2.3356261235030766,-18.191640270800065,247.76712136584482,152.56869669250645,247.7752122028538,418.5921238686674,2606727918.5109053,0.11689615618192861
Q6,43492,1089.8989929182378,1091.9623796322487,-2.0633867140110325,-24.38706761161393,248.62405054467982,168.47415373474658,248.62975446026363,457.6698655802914,2688534299.890814,0.1205646830989714
Q7,41245,1219.1226088010667,1220.8989227247907,-1.7763139237240415,-21.403792747024227,261.5980141354006,171.2946640713226,261.6008736514039,465.3804011871909,2822602280.0906076,0.1265768301439854
Q8,42313,1446.4591733037128,1442.3583571091428,4.1008161945700525,-20.807912858942814,356.52941894276154,223.74181710785652,356.54878929475944,625.423404405791,5379126407.450654,0.2412216465640534
