airport,STAND_mvt,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,234,25,208,1414.423076923077,1297.462049488205,116.96102743487191,-39.71848188803733,2031.5060653932624,387.31870330542404,2029.9890020131968,835.0266548540891,857137912.4452631,0.03843750879067226
LIRF,304,25,501,1118.87624750499,1066.9137454588977,51.962502046092084,-20.52875791448946,510.617948243047,259.0738373848495,512.7478621601142,701.7905346069424,131718095.44503349,0.005906768768535135
LIRF,303,25,484,1095.9855371900826,1048.0561129785203,47.9294242115623,-31.172215509245177,513.5365391160504,270.8940437949791,515.2398772806835,786.92613597505,128488511.47186342,0.00576194124363334
LIRF,314,25,199,1215.1507537688442,1141.1089064922428,74.04184727660132,-5.627562534540061,789.7720720335886,256.8968488603976,791.2570691160408,708.843092742129,124591462.13579531,0.005587181889347552
LIRF,311,25,478,1092.8849372384936,1121.8482435617677,-28.963306323273954,-63.13171533810032,508.70955780325585,256.6954990781866,509.0018617192306,715.569767960018,123841623.92168123,0.00555355613026245
LIRF,315,25,178,1224.314606741573,1147.9301643732124,76.38444236836071,-14.04452240609919,823.9386498189085,329.10200252975,825.1639702363675,862.0156345850294,121199412.84417155,0.005435068766625883
LIRF,305,25,503,1076.2703777335985,1087.1416494622888,-10.871271728690454,-50.3793738588098,456.1352010094901,242.97392560244256,455.8112211504897,638.1018318408047,104505226.27133042,0.0046864343475554494
EHAM,D41,24,132,734.8030303030303,660.8796094207146,73.92342088231582,20.53343903445898,776.4064070887571,151.59472656686785,776.9844671009068,233.41363086257593,79689041.79932258,0.0035735769007619496
LIRF,306,25,511,1041.2191780821918,1041.163698984498,0.05547909769380841,-39.672455783598366,389.12374931456344,227.65986110703045,388.74281950678215,642.6026221064401,77222820.63594021,0.003462981632169971
LIRF,302,25,500,1054.314,1059.155032996119,-4.841032996119169,-32.43535653135825,378.099959897214,219.65624439262317,377.75269173812086,650.5496098887653,71348548.05769789,0.0031995556413386378
LIRF,308,25,503,1075.7335984095428,1059.268952340072,16.46464606947073,-11.093992164974111,369.5915304602566,215.9970051448577,369.5908786182014,602.9856892190151,68708501.03156035,0.0030811653224628167
LIRF,501,25,458,1111.1724890829694,1114.0915487572026,-2.9190596742334103,-27.201327492575388,386.2848181894326,202.98114009250534,385.8739206425541,513.8428030541269,68195596.6454817,0.0030581646284526436
LIRF,805,25,151,1560.8940397350993,1426.4542243399158,134.43981539518364,8.923092182721803,659.583094101517,369.2961685444763,671.0013391197085,1706.514885558922,67986662.36216676,0.003048795175491824
LIRF,804,25,150,1494.5933333333332,1472.2907186577497,22.302614675583634,-57.40441061039644,670.0808929740299,349.9592471150238,668.2158486567408,1339.5330858058364,66976863.05940725,0.003003511716420572
LIRF,312,25,469,1094.9253731343283,1111.8711664508332,-16.945793316504925,-41.836307428600776,366.7379929962729,215.03339844995668,366.73851986416753,547.9542545320676,63079159.57556322,0.0028287230275195244
LIRF,310,25,494,1044.1113360323886,1079.6232190222013,-35.51188298981241,-55.31424505338123,351.3097893723443,216.63179575697083,352.74612228089484,586.5351468780168,61468334.43139875,0.0027564871542253163
LIRF,309,25,519,1110.703275529865,1084.765247446976,25.938028082888998,-1.082477348724069,343.1749575336027,218.78517883957218,343.8239628912615,663.4637328446946,61353542.16083255,0.0027513394074684355
LIRF,313,25,454,1122.3942731277532,1102.4649247729697,19.92934835478365,-10.758983543900513,365.43574555010554,206.60876533475493,365.5766880542133,559.2524038069623,60675426.94130418,0.002720929995711871
LIRF,301,25,420,1085.8261904761905,1072.695495292212,13.130695183978506,-8.929901693632587,377.18425459140263,223.974192140068,376.96371685487156,544.1658402562906,59682690.40651671,0.002676411699730941
LIRF,502,25,431,1186.7587006960557,1180.096826907099,6.661873788956455,-4.6698531819740765,370.67047082363575,191.36853450140347,370.30013893181945,507.9820506034698,59099665.13685058,0.0026502665034881987
LIRF,611,25,263,1324.0190114068441,1276.9859775750335,47.03303383181061,-25.280140685102197,465.212693158916,240.45965217572268,466.70339143585045,752.5875231306227,57284570.61694158,0.002568870370436671
