variable,corr_resid,corr_abs_err,mean
dep_1m,-0.0042938597379723,0.008273764715636291,0.2758327778531527
dep_5m,0.020997129818240156,-0.0013866486180446444,2.7197047008370547
dep_10m,0.008513388286909849,0.005297484924013661,5.680279372120597
dep_15m,-0.0011424454896263464,0.00579247124617198,8.599605953174496
dep_30m,-0.008570419571413334,0.006800198526333674,17.16728408534535
dep_60m,-0.010812437713588295,0.014774182251831575,33.51879096051863
dep_rwy_15m,-0.011262839625084632,0.03300728407839798,5.7633683924895145
dep_rwy_60m,-0.020253541598964333,0.039862872793247815,22.057467128354265
arr_15m,-0.007586955986199054,-0.009619701833879713,7.418235283707816
queue,-0.0008875798551441521,0.06168939723639949,9.786335777446128
queue_rwy,-0.009679098899378749,0.07112067798686564,6.555800687812273
