slice,n,sse_share
worst 0.1%,339,0.19419192256369724
worst 0.5%,1695,0.3331112071141015
worst 1%,3390,0.4091655269373011
worst 5%,16952,0.6218714568342053
worst 10%,33905,0.7328389932186554
y>30min,15140,0.45804523145651355
y>45min,2786,0.2948663483917977
y>60min,775,0.19617508468098174
y<=20min,256365,0.35030055777474683
