factor,eta2_of_residual
airport,0.0015510072012989348
stand x runway,0.03987615658107124
hour,0.0003583513958923948
airport x hour,0.005933178197385136
WTC,9.278515926969474e-05
aircraft type,0.0015988538415657686
operator,0.004492269138205051
SSE share y>30min (not eta2),0.45804523145651355
SSE share y>60min,0.19617508468098174
