state,n,mean_resid,mae,rmse
AOBT present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
EOBT present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
IOBT present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
LOBT present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
aircraft_type present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
operator present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
market present,339046,-0.26984850613634964,157.83337264126553,256.45928301184216
WTC present,339039,-0.26575331598325536,157.83220379513304,256.45726602260703
WTC missing,7,-198.61687340831025,214.44543320119107,340.40970709220636
