WTC,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
M,264197,951.8106602270276,950.8984283044647,0.9122319225631622,-15.925079265798274,247.71180357844798,150.74657655297702,247.71301448234036,426.01170125465467,16211586973.89319,0.7269927135087035
H,70811,1195.9013995000776,1200.2048686650235,-4.303469164945618,-22.120136264948428,285.46046162392963,182.70994184681442,285.4908829022917,514.9602816869703,5771453686.285788,0.2588151784917512
J,2444,1450.063829787234,1460.8879220289812,-10.824092241747076,-23.074624579958368,306.55705132928904,198.5966107491021,306.6853998359719,587.6166249587285,229872703.8509121,0.010308415888171654
L,1587,680.1335853812225,680.0848388565045,0.04874652471800001,-19.061353735368527,232.58146996925103,164.60960815732682,232.50818644657053,460.0609084717214,85793310.08553638,0.003847316823480569
null,7,533.8571428571429,732.4740162654532,-198.61687340831025,-66.41897741776211,298.6108794514925,214.44543320119107,340.40970709220636,657.1682301219796,811151.380778212,3.637528789303149e-05
