bin,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
Q1,51714,913.5960861662219,914.946055628063,-1.3499694618411122,-17.901042218411817,257.39412825521197,149.97546071014682,257.3951797524361,441.06243449290054,3426170333.440923,0.15364324736760018
Q2,50571,956.4241561369164,952.4488924944945,3.9752636424216816,-15.964398851198439,256.43948517160186,155.36737148749955,256.4677599663982,454.5644248066385,3326343526.605249,0.14916661214988544
Q3,30762,991.1536311033093,989.6482320650216,1.5053990382878626,-18.568592362277116,260.20077534747793,161.00074258546613,260.20090085559934,468.20092587403406,2082726099.8921854,0.09339780869660311
Q4,69489,1040.6500309401488,1041.3877044881851,-0.7376735480361981,-19.33757011208263,261.8183873902149,162.46807923248548,261.817542703114,460.2026914509141,4763361551.180898,0.2136082756791583
Q5,33473,1094.0405102620023,1095.8167124733961,-1.776202211394016,-17.165657167736413,298.56742244850807,164.50759579251965,298.56824600939774,453.4336700886817,2983883556.158618,0.1338093307446759
Q6,28620,1089.4686932215234,1094.48560594411,-5.016912722586755,-19.072884780262257,247.4854415625549,160.24026002517027,247.53196383554112,439.1991769817994,1753606732.7024033,0.07863877355668261
Q7,38888,1029.6835270520469,1031.75018178916,-2.0666547371133204,-16.42773915918599,236.62127307839933,157.26834726608502,236.62725576077128,429.09928218835086,2177434713.271151,0.09764492354994224
Q8,35529,971.465084860255,969.6174041881222,1.8476806721327117,-10.740355084246175,224.20203134608033,153.3654101242497,224.20648960311277,425.78197725740483,1785991312.2447746,0.08009102825545211
