split,n,n_matched,n_unmatched,rmse,mae,matched,mae_matched,unmatched,lirf_unmatched,nlu_unmatched,rmse_lt20,rmse_gt30,rmse_gt60,sse,rmse_EDDF,rmse_EDDM,rmse_EGLL,rmse_EHAM,rmse_LEBL,rmse_LEMD,rmse_LFPG,rmse_LIRF,rmse_LSZH,rmse_LTFM
janjul,344419,339046,5373,473.6143067824133,221.94422783348935,386.4206356239855,215.68322152013977,2226.2726476039825,6032.69683773519,1564.6538839136992,251.27820034493382,1242.0613363269244,4138.02104819613,77256802090.96692,257.1226339575081,279.0309900919429,383.8427209842482,238.29934914316888,290.9101132950096,259.42431255722164,642.1112317075125,1139.8964482483827,314.90313958776755,376.99978810269926
dec,165677,164028,1649,311.23448530835066,196.38578820191873,300.2635688646267,194.62919010193423,874.178881813744,2786.1434163308313,607.996480299147,228.4130177791076,786.7612772691284,2331.0772800177606,16048618194.030571,280.7184744022527,346.9863473925753,366.180179104613,212.61277713273373,243.2881827474695,216.21930455744246,350.3772869900524,484.42540305139846,215.6464477085769,316.2452586671708
