dis_q,n,mean_y,mean_pred,mean_aobt_eobt,mean_dis,frac_gt30,frac_gt60,resid_mean,resid_rmse,y_rmse,sse,sse_share
Q1,42353,982.763251717706,996.0529787152215,-67.6237338559252,-160.94021608114886,0.023658300474582675,0.0009444431327178712,-13.289726997515517,211.98357900281084,211.98357900281084,1903218360.5390148,0.08712983091982014
Q2,42200,958.6195023696682,965.2987139569914,170.66308056872037,110.93110282870148,0.02758293838862559,0.0007819905213270142,-6.67921158732314,195.61887268898295,195.61887268898295,1614856569.4589794,0.07392855322017443
Q3,42247,951.4618079390252,953.1009906787455,268.4715127701375,231.92875637362496,0.02928018557530712,0.0009468127914408124,-1.639182739720273,250.06036570207897,250.06036570207897,2641712788.856693,0.12093829767732098
Q4,42307,944.1160800813104,947.824548142619,344.1052071761174,333.64314808777374,0.029593211525279505,0.001110927269718959,-3.7084680613085963,217.4740440471697,217.4740440471697,2000907865.7067819,0.09160208184193601
Q5,42208,954.7200293783169,956.5623851352144,427.67563021228204,435.1399444703395,0.031178923426838513,0.0013741470811220622,-1.842355756897476,228.8180257853518,228.8180257853518,2209913334.1171045,0.10117040647639979
Q6,42302,982.5780814145903,991.4574359464239,528.4498841662332,553.0845117039624,0.03803602666540589,0.0015602099191527588,-8.879354531833636,233.95162353194704,233.95162353194704,2315330685.8060994,0.10599644021961989
Q7,42260,1047.130312352106,1054.3064895921411,653.3969238050165,712.7818600604107,0.05392806436346427,0.002721249408424042,-7.176177240035016,273.46730239498515,273.46730239498515,3160387285.1505804,0.14468335084700057
Q8,42227,1219.368247803538,1222.9001213143442,993.2356785942643,1123.818277068205,0.12342813839486584,0.008785847917209369,-3.5318735108064265,373.0746303418532,373.0746303418532,5877351474.113507,0.26906667716826493
nan,942,1014.7430997876858,1014.2076089244816,289.8832271762208,,0.0732484076433121,0.005307855626326964,0.5354908632040867,356.6140619327237,356.6140619327237,119797520.99640343,0.005484361629463306
