ae_q,dis_q,n,mean_y,frac_gt30,frac_gt60,resid_mean,resid_rmse,mean_aobt_eobt,mean_dis
AE1,Q1,25656,916.6728640473963,0.009159650763953852,0.0003118178983473651,-14.038498934641693,179.61905737362093,-405.5067430620518,-189.50856582416472
AE1,Q2,17711,894.1907289255265,0.014341369770199312,0.00028231042854723055,-8.035689322640316,161.76684918864973,-230.8368810343854,106.90692183559834
AE1,Q3,14149,887.3957876881758,0.01682097674747332,0.0004947346102198035,-1.8134502868870144,290.0472672616712,-209.3935967206163,230.15879601913417
AE1,Q4,11565,874.4127972330307,0.0167747514051016,0.0003458711629917856,-3.3015495428937114,171.97504413168096,-200.38711629917856,332.24175094006097
AE1,Q5,9489,865.4880387817473,0.01612393297502371,0.00042154073137316893,-5.654873486621502,180.8223196131407,-196.21308883970914,433.54579380199453
AE1,Q6,7778,895.3503471329391,0.024942144510156854,0.0005142710208279763,-2.6355568264755465,194.41166912652852,-192.56094111596812,551.3370512432475
AE1,Q7,5949,933.9645318540931,0.03143385442931585,0.0015128593040847202,7.145718767752152,227.12969106031866,-204.13044209110774,707.6784980689082
AE1,Q8,4007,1052.0628899426003,0.07461941602196157,0.003743448964312453,22.639344745314137,318.8686653285323,-234.02445719990018,1066.628663993624
AE1,nan,378,877.0793650793651,0.031746031746031744,0.005291005291005291,-9.93422037691887,298.1100043206053,-269.48148148148147,
AE2,Q1,8883,1031.767083192615,0.02364066193853428,0.0006754474839581223,-24.304731780792775,199.93319595762645,163.20770010131713,-109.65951928257331
AE2,Q2,12550,950.1027888446215,0.02262948207171315,7.968127490039841e-05,-6.819061363536169,168.26681075330222,166.65410358565737,112.37544053976869
AE2,Q3,12750,916.584705882353,0.01772549019607843,0.0006274509803921569,-5.451122316147964,177.87029493652855,173.4967843137255,231.69772867116316
AE2,Q4,12478,897.2780894374098,0.016589196986696586,0.0004007052412245552,-2.7583322901839087,171.6795029043109,174.84588876422504,333.5179346841163
AE2,Q5,11612,903.2641233207028,0.015931794695142956,0.0005167068549776093,5.517875885140273,184.4787766877366,180.25706166035135,434.3369430436369
AE2,Q6,10259,911.5590213471098,0.01676576664392241,0.00038990154985866067,4.672305093472294,177.78893111571077,184.52870650160835,551.5576439267095
AE2,Q7,8419,945.3400641406342,0.02363701152155838,0.0007126737142178406,11.339241597380035,203.78071713345318,187.4276042285307,709.1648850074882
AE2,Q8,5330,995.209756097561,0.03827392120075047,0.0013133208255159475,18.58070336707408,216.80726343514277,188.675234521576,1040.5296242482916
AE2,nan,216,1005.1527777777778,0.06018518518518518,0.0,-16.79151734647017,272.124348481539,175.07407407407408,
AE3,Q1,4943,1086.688043698159,0.04046125834513453,0.000606918875177018,-59.883447806395985,249.62178425557227,504.7519724863443,-124.62888770105502
AE3,Q2,7651,1007.5556136452751,0.029538622402300353,0.0006535093451836362,-32.378825019992654,208.19408790197568,504.78460331982745,115.5668636184151
AE3,Q3,9449,980.2875436554133,0.027939464493597205,0.0007408191342999259,-13.330241116497582,212.52513591900177,507.0281511271034,233.1368616836764
AE3,Q4,11017,965.4610147953164,0.0266860306798584,0.00036307524734501223,-9.73510081244062,209.07913278811458,511.9859308341654,334.131904974003
AE3,Q5,11892,961.1518668012109,0.0239656912209889,0.00042045072317524387,-1.5174484647615647,207.77217012129194,513.9151530440632,435.63332908728546
AE3,Q6,12341,970.0385706182643,0.027793533749290982,0.0004861842638359938,1.6163482599726084,212.62723640567617,522.4370796531886,553.2236530866629
AE3,Q7,12567,1019.908172197024,0.03572849526537757,0.0007161613750298401,20.292818703753433,227.1559888902463,529.6053950823585,711.8948352576583
AE3,Q8,9883,1101.2408175655166,0.06445411312354549,0.00242841242537691,49.65632848275889,287.39701578388116,538.9298795912173,1061.1298635810447
AE3,nan,188,1127.2553191489362,0.11702127659574468,0.010638297872340425,16.305323667938374,420.7608547242419,523.6117021276596,
AE4,Q1,2871,1242.8167885754092,0.12434691745036573,0.008011145942180425,-104.55782463153592,388.748324024897,1252.1246952281435,-126.82797116221248
AE4,Q2,4288,1162.3444496268658,0.09328358208955224,0.005130597014925373,-57.681688711887126,329.47925468624834,1244.5704291044776,115.05368340072951
AE4,Q3,5899,1134.3366672317343,0.08628581115443296,0.0030513646380742497,-47.38125425213123,314.99236266138087,1237.8086116290897,234.7382809010705
AE4,Q4,7247,1103.5483648406237,0.07685939009245205,0.004691596522699048,-34.48931514922685,336.1719305526772,1249.242445149717,335.35212231828956
AE4,Q5,9215,1103.1455236028214,0.07520347259902334,0.004666304937601736,-21.42421915737362,323.14251541076817,1270.599565925122,437.15665834924107
AE4,Q6,11924,1113.5569439785306,0.0754780275075478,0.004360952700436095,-16.09609506802233,308.4947234991492,1300.8847702113385,555.3940336920846
AE4,Q7,15325,1169.302969004894,0.09422512234910277,0.005938009787928222,12.219648482287473,348.33196215325654,1343.7795758564437,717.477354621859
AE4,Q8,23007,1351.1807710696744,0.17698961185726084,0.014126135523970965,79.83990556389958,461.5858524781986,1588.5259268918155,1180.002781332715
AE4,nan,160,1220.71875,0.1375,0.00625,-59.79641595405796,412.1737572358428,1491.74375,
