ae_q,n_low,n_high,frac_gt30_low,frac_gt30_high,ratio,resid_rmse_low,resid_rmse_high,resid_mean_low,resid_mean_high
AE1,25656,4007,0.009159650763953852,0.07461941602196157,8.146535053018917,179.61905737362093,318.8686653285323,-14.038498934641693,22.639344745314137
AE2,8883,5330,0.02364066193853428,0.03827392120075047,1.6189868667917449,199.93319595762645,216.80726343514277,-24.304731780792775,18.58070336707408
AE3,4943,9883,0.04046125834513453,0.06445411312354549,1.5929834058484267,249.62178425557227,287.39701578388116,-59.883447806395985,49.65632848275889
AE4,2871,23007,0.12434691745036573,0.17698961185726084,1.4233534331714168,388.748324024897,461.5858524781986,-104.55782463153592,79.83990556389958
