ae_q,n,mean_y,mean_pred,mean_aobt_eobt,mean_dis,frac_gt30,frac_gt60,resid_mean,resid_rmse,y_rmse,sse,sse_share
AE1,96682,902.9961730208312,908.281754683423,-262.5700440619764,218.23045196392187,0.018266068140915578,0.0005999048426801266,-5.285581662591819,207.82249885504476,207.82249885504476,4175714049.19679,0.1872557999627453
AE2,82497,936.9122998412064,938.1549925867458,176.28188903838927,361.81404715938066,0.020606809944604045,0.0005212310750693965,-1.2426927455394938,184.79426293176098,184.79426293176098,2817183421.2718196,0.1263338267364143
AE3,79931,1004.5347236991905,1004.862540466994,518.2928150529832,471.43468860575587,0.034029350314646385,0.0008132013861955937,-0.32781676780345287,226.96156568679106,226.96156568679106,4117369886.811335,0.1846394132389594
AE4,79936,1199.5366918534828,1192.6780712671728,1374.6785303242593,661.0863737568455,0.11201461168935148,0.00761859487590072,6.858620586309882,374.1358215181456,374.1358215181456,11189250468.216259,0.5017709600618809
