dis_q,n,mean_y,mean_pred,mean_aobt_eobt,mean_dis,frac_gt30,frac_gt60,resid_mean,resid_rmse,y_rmse,sse,sse_share
Q1,20450,918.1242053789731,946.8429236706046,-57.835892420537895,-156.87978681515938,0.013985330073349633,0.000684596577017115,-28.7187182916315,203.38249851751303,203.38249851751303,845902812.3809755,0.097452175775202
Q2,20496,976.1446623731459,989.7235250698732,153.40212724434036,89.3896019147671,0.024053473848555815,0.000585480093676815,-13.57886269672715,191.17521359042726,191.17521359042726,749087035.1234171,0.08629852076303837
Q3,20390,968.4154977930358,974.3297579947297,225.30716037273174,190.4332116712191,0.02511034820990682,0.0005885237861696911,-5.914260201693741,201.97255754222965,201.97255754222965,831767516.4630435,0.0958237199735816
Q4,20396,957.5630515787409,959.331587348785,283.9597470092175,271.4948796955771,0.02593645812904491,0.0005393214355756031,-1.768535770044203,198.12400255420917,198.12400255420917,800606643.4356934,0.092233833722911
Q5,20437,944.0720262269414,940.1879667591927,333.96379116308657,352.15330055743135,0.026275872192591868,0.0008807554924891129,3.8840594677486218,203.9053973999152,203.9053973999152,849717550.4221599,0.09789165241091559
Q6,20430,963.4232990699951,949.9850550275021,420.80690161527167,445.69391537723277,0.031130690161527166,0.000930004894762604,13.438244042492942,211.4125028100167,211.4125028100167,913123882.8159962,0.10519637460744388
Q7,20434,1006.3115885289224,975.098962352787,510.78751101106,573.6672590401641,0.04326123128119801,0.0012234511108936087,31.21262617613532,228.0468511595852,228.0468511595852,1062677655.4605701,0.12242570677928169
Q8,20428,1192.9257881339338,1095.7520648516893,829.3000293714509,952.4871395520788,0.1189543763461915,0.0036714313687096142,97.17372328224444,353.3063952938124,353.3063952938124,2549933454.14311,0.2937649095748663
nan,567,987.5379188712523,1000.3468856358177,220.40388007054673,,0.06701940035273368,0.007054673721340388,-12.808966764565476,369.3919955245201,369.3919955245201,77367403.08475187,0.008913106392759539
