split,variant,n,n_matched,n_unmatched,n_lt20_matched,n_gt30_matched,n_gt60_matched,rmse_overall,rmse_matched,mae_matched,rmse_lt20_matched,rmse_gt30_matched,rmse_gt60_matched,sse_share_gt30_matched,resid_mean_matched,rmse_unmatched
janjul,baseline,344419,339046,5373,255874,15140,775,378.27544289123625,256.45928301184216,157.83337264126553,174.50922947165887,821.3702748364738,2375.848859579158,0.45804523145651355,-0.26984850613634964,2241.022901781275
janjul,E16A,344419,339046,5373,255874,15140,775,376.04404209215693,253.82334387909276,157.45507909086658,175.997907631098,806.7900462449898,2382.433132716593,0.4511543930928583,-5.828545671353964,2235.881208924138
dec,baseline,165677,164028,1649,125738,6345,190,245.3842740102065,230.04111805948864,151.03844404213353,162.12912088231073,733.5932134725731,2153.906988179516,0.3933809342591802,11.87144760341831,886.4584880499616
dec,E16A,165677,164028,1649,125738,6345,190,241.2704503177242,226.94752296694259,148.10396341720497,156.13440328366838,726.6966155835021,2100.692579284102,0.39661489302579356,21.108326095565978,851.6397888255942
