ae_q,dis_q,n,mean_y,frac_gt30,frac_gt60,resid_mean,resid_rmse,mean_aobt_eobt,mean_dis
AE1,Q1,11365,842.3833699956006,0.004223493180818302,0.0004399472063352398,-10.019204189739334,165.84270237002997,-428.0139023317202,-188.32761799725756
AE1,Q2,7303,897.9103108311652,0.011775982472956319,0.00013693002875530603,-3.2681746310952016,164.36743931256046,-284.75352594824045,86.68030293514663
AE1,Q3,6003,908.567882725304,0.01249375312343828,0.0,1.5778342442271367,160.49586554865894,-256.93953023488257,189.08070694512736
AE1,Q4,5047,898.5278383197939,0.015851000594412523,0.00039627501486031304,2.5249638846212705,166.58798259997562,-248.3477313255399,270.4943828358879
AE1,Q5,4333,871.8061389337641,0.014539579967689823,0.0009231479344564967,3.5664189416544505,165.4606180738594,-237.9379183014078,350.9203617249142
AE1,Q6,3480,875.3060344827586,0.015804597701149427,0.0008620689655172414,5.713511140567088,183.47447301624035,-246.96580459770115,443.3168904526657
AE1,Q7,2872,903.4940807799443,0.03168523676880223,0.00034818941504178273,15.303990544371791,186.35287787461775,-245.21866295264624,569.81533334662
AE1,Q8,1864,1038.128755364807,0.08047210300429185,0.006437768240343348,66.87815294674502,394.52000260925814,-293.66630901287556,881.5638098765863
AE1,nan,205,861.2146341463415,0.024390243902439025,0.00975609756097561,-14.955078394686971,252.96499662597685,-360.33658536585364,
AE2,Q1,4575,956.2937704918032,0.009617486338797814,0.0002185792349726776,-26.213245226667222,186.72152924312218,107.76087431693989,-115.88080627386555
AE2,Q2,6533,974.6750344405327,0.020817388642277668,0.00030613806826878924,1.7106874273759007,177.02217721471385,110.13148630032144,90.17311316552788
AE2,Q3,6516,948.2033456108041,0.019950890116635974,0.000767341927562922,5.508260517009366,179.11197718967233,114.37369551872314,190.69852546555614
AE2,Q4,6361,928.8745480270397,0.01870775035371797,0.00015720798616569723,10.741593231217415,171.13384076548982,115.11020279830215,270.9335012668149
AE2,Q5,6102,900.60668633235,0.01720747295968535,0.00032776138970829236,11.544001236085267,167.85815511729723,120.5096689609964,351.94970545765824
AE2,Q6,5375,909.1668837209303,0.017674418604651163,0.00037209302325581393,18.962923131266933,171.42692025639565,122.72130232558139,444.7514901525124
AE2,Q7,4699,926.1064056182166,0.02149393487976165,0.000638433709299851,31.905377808713038,186.49061876907197,126.93573100659715,570.6031030727497
AE2,Q8,3006,978.1284098469728,0.0385894876912841,0.00033266799733865603,52.54524932055325,224.5694920621533,129.37957418496342,848.3562142441236
AE2,nan,139,1013.6330935251799,0.05755395683453238,0.007194244604316547,13.838245287970937,384.253250856354,117.49640287769785,
AE3,Q1,2636,1028.5030349013657,0.02693474962063733,0.0007587253414264037,-54.58170041168447,233.10779586741967,425.63694992412746,-114.87755640608647
AE3,Q2,3981,1017.5380557648832,0.026626475759859332,0.00025119316754584274,-23.385277290262476,189.11949365240534,425.3730218538056,91.53775300695584
AE3,Q3,4619,983.2277549253085,0.023814678501840224,0.00021649707728945658,-10.283633263805436,193.3232747873174,424.0681965793462,191.09702721154446
AE3,Q4,5184,964.5135030864197,0.025655864197530864,0.0009645061728395061,-0.21443283988246561,201.79900698613446,429.7710262345679,272.3351000063971
AE3,Q5,5481,950.3088852399197,0.02353585112205802,0.00018244845831052726,4.3299491920686375,191.80398246483776,433.6517058930852,352.3211262446347
AE3,Q6,5835,953.7538988860325,0.02416452442159383,0.0005141388174807198,18.123006359335843,196.6376051632408,438.1667523564696,446.284399334018
AE3,Q7,5748,982.5626304801671,0.02800974251913709,0.0005219206680584551,35.22085198096531,201.2170803110603,440.41544885177456,573.2434903613223
AE3,Q8,4661,1078.4357434027033,0.05642565972967174,0.001072731173567904,78.8668921499022,256.84369205754615,452.5591074876636,866.7151911542356
AE3,nan,113,996.9911504424779,0.07079646017699115,0.0,-44.237699073009935,246.50707343951402,410.98230088495575,
AE4,Q1,1874,1129.0154749199573,0.06563500533617929,0.0032017075773745998,-111.8604985326968,350.77046055680535,1102.8009605122732,-125.33422328804619
AE4,Q2,2679,1131.4860022396417,0.06159014557670773,0.0029861888764464353,-64.39866464044167,276.4054855699481,1049.1922359089212,91.6723723324396
AE4,Q3,3252,1098.35086100861,0.06057810578105781,0.0018450184501845018,-36.425346852382106,301.4245907087091,1055.470787207872,191.45539408390852
AE4,Q4,3804,1074.3893270241851,0.051787592008412195,0.0007886435331230284,-30.502156412546903,263.01258681283747,1073.8446372239748,272.6159979250507
AE4,Q5,4521,1064.4368502543684,0.05308560053085601,0.0024330900243309003,-6.690713779281279,281.21166681874456,1049.3271400132714,353.40629959935825
AE4,Q6,5740,1077.482055749129,0.06010452961672474,0.001916376306620209,8.185862906214794,268.0432295768905,1087.1421602787457,447.4172792156517
AE4,Q7,7115,1119.9707659873507,0.07463106113843991,0.0025298664792691495,33.93856850737628,282.2428993458643,1126.3135628952916,577.5881335094151
AE4,Q8,10897,1327.6289804533358,0.17445168394971092,0.005230797467192805,122.49741565097543,406.5098725832819,1375.6118197669084,1030.0315737516917
AE4,nan,110,1180.2727272727273,0.15454545454545454,0.00909090909090909,-10.195901676142123,578.8643464369715,1236.9545454545455,
