airport,bin,state
EDDF,5785987,3
EDDF,5785988,3
EDDF,5785989,3
EDDF,5785990,3
EDDF,5785991,3
EDDF,5785992,3
EDDF,5785993,3
EDDF,5785994,3
EDDF,5785995,3
EDDF,5785996,3
EDDF,5785997,3
EDDF,5785998,3
EDDF,5785999,3
EDDF,5786000,3
EDDF,5786001,3
EDDF,5786002,3
EDDF,5786003,3
EDDF,5786004,3
EDDF,5786005,3
EDDF,5786006,3
EDDF,5786007,3
EDDF,5786008,3
EDDF,5786009,3
EDDF,5786010,3
EDDF,5786011,3
EDDF,5786012,2
EDDF,5786013,2
EDDF,5786014,2
EDDF,5786015,2
EDDF,5786016,2
EDDF,5786017,2
EDDF,5786018,2
EDDF,5786019,2
EDDF,5786020,2
EDDF,5786021,2
EDDF,5786022,2
EDDF,5786023,2
EDDF,5786024,2
EDDF,5786025,2
EDDF,5786026,2
EDDF,5786027,2
EDDF,5786028,2
EDDF,5786029,2
EDDF,5786030,2
EDDF,5786031,2
EDDF,5786032,2
EDDF,5786033,2
EDDF,5786034,2
EDDF,5786035,2
EDDF,5786036,2
EDDF,5786037,2
EDDF,5786038,2
EDDF,5786039,2
EDDF,5786040,2
EDDF,5786041,2
EDDF,5786042,2
EDDF,5786043,2
EDDF,5786044,2
EDDF,5786045,2
EDDF,5786046,2
EDDF,5786047,2
EDDF,5786048,2
EDDF,5786049,2
EDDF,5786050,2
EDDF,5786051,2
EDDF,5786052,2
EDDF,5786053,2
EDDF,5786054,2
EDDF,5786055,2
EDDF,5786056,2
EDDF,5786057,2
EDDF,5786058,2
EDDF,5786059,2
EDDF,5786060,2
EDDF,5786061,2
EDDF,5786062,2
EDDF,5786063,2
EDDF,5786064,2
EDDF,5786065,2
EDDF,5786066,2
EDDF,5786067,2
EDDF,5786068,2
EDDF,5786069,2
EDDF,5786070,2
EDDF,5786071,2
EDDF,5786072,2
EDDF,5786073,2
EDDF,5786074,2
EDDF,5786075,2
EDDF,5786076,2
EDDF,5786077,2
EDDF,5786078,2
EDDF,5786079,2
EDDF,5786080,2
EDDF,5786081,2
EDDF,5786082,2
