split,model,feature,gain,class
dec,E17-A0,month,23512344646.0,baseline
dec,E17-A0,dis_frac20_30m,22264891624.0,e16a
dec,E17-A0,dis_state_vs_hour,17256615716.0,e16a
dec,E17-A0,dep_60m,14649257798.0,baseline
dec,E17-A0,queue_rwy,10380082370.0,baseline
dec,E17-A0,queue,8177176490.0,baseline
dec,E17-A0,AIRCRAFT_TYPE_mvt,7251999236.0,baseline
dec,E17-A0,dis_frac30_30m,5838460616.0,e16a
dec,E17-A0,dep_15m,5615035842.0,baseline
dec,E17-A0,arr_15m,4931330568.0,baseline
dec,E17-A0,dis_n_dly20_60m,4787431674.0,e16a
dec,E17-A0,dep_rwy_15m,3323975248.0,baseline
dec,E17-A0,dow,1980980102.0,baseline
dec,E17-A0,MARKET_SEGMENT_flt,570147980.0,baseline
dec,E17-A0,unmatched,0.0,baseline
dec,E17-A0,WK_TBL_CAT_flt,0.0,baseline
dec,E17-A1,mvt_sched,943500671706.0,baseline
dec,E17-A1,type_null,275951162032.0,baseline
dec,E17-A1,aobt_eobt,127800911192.0,baseline
dec,E17-A1,STAND_mvt,121728206962.0,baseline
dec,E17-A1,RUNWAY_mvt,101714914278.0,baseline
dec,E17-A1,ADES_mvt,96067613570.0,baseline
dec,E17-A1,mvt_aobt,82642874962.0,baseline
dec,E17-A1,AIRCRAFT_OPERATOR_flt,50771742258.0,baseline
dec,E17-A1,airport,48357632160.0,baseline
dec,E17-A1,arr_delay_mean_30m,38119405078.0,e16a
dec,E17-A1,dis_state_30m,33772136946.0,e16a
dec,E17-A1,geo_mean,27905839108.0,baseline
dec,E17-A1,hour,15897457614.0,baseline
dec,E17-A1,dis_frac20_30m,14696784332.0,e16a
dec,E17-A1,rm_aobt_med_30m,14564687542.0,airport_memory
dec,E17-A1,rm_ae_med_30m,14057232942.0,airport_memory
dec,E17-A1,dep_60m,13894273036.0,baseline
dec,E17-A1,month,13105827296.0,baseline
dec,E17-A1,rm_aobt_mean_60m,11722354006.0,airport_memory
dec,E17-A1,roll10_mean_mvt_aobt,10664783338.0,baseline
dec,E17-A1,rm_aobt_p90_30m,10380084678.0,airport_memory
dec,E17-A1,rm_aobt_std_30m,9984099424.0,airport_memory
dec,E17-A1,queue_rwy,9859364728.0,baseline
dec,E17-A1,rm_sched_med_30m,9677211520.0,airport_memory
dec,E17-A1,dis_state_vs_hour,9616546590.0,e16a
dec,E17-A1,rm_ae_mean_5m,9302155410.0,airport_memory
dec,E17-A1,rm_ae_mean_30m,9114583140.0,airport_memory
dec,E17-A1,rm_ae_mean_10m,8556856918.0,airport_memory
dec,E17-A1,rm_ae_std_30m,8291885604.0,airport_memory
dec,E17-A1,queue,7581270772.0,baseline
dec,E17-A2,mvt_sched,836228217020.0,baseline
dec,E17-A2,type_null,298015320110.0,baseline
dec,E17-A2,aobt_eobt,102334950914.0,baseline
dec,E17-A2,STAND_mvt,101893217266.0,baseline
dec,E17-A2,ADES_mvt,82178536692.0,baseline
dec,E17-A2,airport,66306811740.0,baseline
dec,E17-A2,mvt_aobt,62205651236.0,baseline
dec,E17-A2,RUNWAY_mvt,53152023456.0,baseline
dec,E17-A2,AIRCRAFT_OPERATOR_flt,45799938818.0,baseline
dec,E17-A2,arr_delay_mean_30m,34790550492.0,e16a
dec,E17-A2,dis_state_30m,26989538384.0,e16a
dec,E17-A2,geo_mean,21738836992.0,baseline
dec,E17-A2,rm_rwy_ts_dep,18121735472.0,runway_memory
dec,E17-A2,rm_aobt_med_30m,14583264612.0,airport_memory
dec,E17-A2,month,12031560606.0,baseline
dec,E17-A2,dis_frac20_30m,11627253632.0,e16a
dec,E17-A2,rm_aobt_mean_60m,11411535946.0,airport_memory
dec,E17-A2,hour,11061966930.0,baseline
dec,E17-A2,rm_ae_med_30m,9374508508.0,airport_memory
dec,E17-A2,queue_rwy,8590889386.0,baseline
dec,E17-A2,dep_60m,8585985902.0,baseline
dec,E17-A2,queue,8286206584.0,baseline
dec,E17-A2,rm_ae_mean_30m,8237857908.0,airport_memory
dec,E17-A2,dis_state_vs_hour,7928436930.0,e16a
dec,E17-A2,roll10_mean_mvt_aobt,7804464190.0,baseline
dec,E17-A2,rm_rwy_dep_60m,7493610980.0,runway_memory
dec,E17-A2,rm_sched_med_30m,7207137960.0,airport_memory
dec,E17-A2,rm_ae_mean_5m,6812321946.0,airport_memory
dec,E17-A2,rm_aobt_p90_30m,6632949310.0,airport_memory
dec,E17-A2,rm_sched_mean_30m,6354649116.0,airport_memory
